"Statistic:   Number of Applications"
"Variables:   Provider Name , Age Band , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_006_03.pdf"
 
Cycle Year,Provider Name , Age Band,Number of Applications,
2006 ,"'C15 Cardiff University' ","'20' ",1715
2006 ,"'C15 Cardiff University' ","'21 and over' ",4900
2006 ,"'C20 Cardiff Metropolitan University' ","'17 and under' ",65
2006 ,"'C20 Cardiff Metropolitan University' ","'18' ",6650
2006 ,"'C20 Cardiff Metropolitan University' ","'19' ",2035
2006 ,"'C20 Cardiff Metropolitan University' ","'20' ",745
2006 ,"'C20 Cardiff Metropolitan University' ","'21 and over' ",1620
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'17 and under' ",5
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'18' ",135
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'19' ",115
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'20' ",35
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'21 and over' ",125
2006 ,"'C24 Carshalton College' ","'19' ",5
2006 ,"'C24 Carshalton College' ","'21 and over' ",5
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'17 and under' ",90
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'18' ",8175
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'19' ",3725
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'20' ",1335
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'21 and over' ",3410
2006 ,"'C26 CECOS London College of IT and Management' ","'18' ",25
2006 ,"'C26 CECOS London College of IT and Management' ","'19' ",15
2006 ,"'C26 CECOS London College of IT and Management' ","'20' ",10
2006 ,"'C26 CECOS London College of IT and Management' ","'21 and over' ",25
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'17 and under' ",105
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'18' ",11460
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'19' ",3290
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'20' ",1290
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'21 and over' ",3095
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'17 and under' ",20
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'18' ",2230
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'19' ",935
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'20' ",475
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'21 and over' ",800
2006 ,"'C55 University of Chester' ","'17 and under' ",80
2006 ,"'C55 University of Chester' ","'18' ",11820
2006 ,"'C55 University of Chester' ","'19' ",2240
2006 ,"'C55 University of Chester' ","'20' ",815
2006 ,"'C55 University of Chester' ","'21 and over' ",1875
2006 ,"'C56 Chesterfield College' ","'18' ",60
2006 ,"'C56 Chesterfield College' ","'19' ",20
2006 ,"'C56 Chesterfield College' ","'20' ",10
2006 ,"'C56 Chesterfield College' ","'21 and over' ",5
2006 ,"'C57 Chichester College' ","'17 and under' ",5
2006 ,"'C57 Chichester College' ","'18' ",65
2006 ,"'C57 Chichester College' ","'19' ",25
2006 ,"'C57 Chichester College' ","'20' ",10
2006 ,"'C57 Chichester College' ","'21 and over' ",15
2006 ,"'C58 University of Chichester' ","'17 and under' ",15
2006 ,"'C58 University of Chichester' ","'18' ",3415
2006 ,"'C58 University of Chichester' ","'19' ",860
2006 ,"'C58 University of Chichester' ","'20' ",330
2006 ,"'C58 University of Chichester' ","'21 and over' ",800
2006 ,"'C60 City, University of London' ","'17 and under' ",410
2006 ,"'C60 City, University of London' ","'18' ",7985
2006 ,"'C60 City, University of London' ","'19' ",3900
2006 ,"'C60 City, University of London' ","'20' ",1685
2006 ,"'C60 City, University of London' ","'21 and over' ",3765
2006 ,"'C62 City College, Birmingham' ","'18' ",10
2006 ,"'C62 City College, Birmingham' ","'19' ",10
2006 ,"'C62 City College, Birmingham' ","'20' ",5
2006 ,"'C62 City College, Birmingham' ","'21 and over' ",10
2006 ,"'C64 City College Coventry' ","'18' ",20
2006 ,"'C64 City College Coventry' ","'19' ",10
2006 ,"'C64 City College Coventry' ","'21 and over' ",10
2006 ,"'C65 City and Islington College' ","'18' ",15
2006 ,"'C65 City and Islington College' ","'19' ",10
