"Statistic:   Number of Applications"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applications through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_03.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Applications,
2006 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Not EU' ",40
2006 ,"'C69 City of Sunderland College' ","'UK' ",90
2006 ,"'C69 City of Sunderland College' ","'EU (excluding UK)' ",5
2006 ,"'C69 City of Sunderland College' ","'Not EU' ",10
2006 ,"'C71 Cleveland College of Art and Design' ","'UK' ",510
2006 ,"'C71 Cleveland College of Art and Design' ","'EU (excluding UK)' ",10
2006 ,"'C71 Cleveland College of Art and Design' ","'Not EU' ",10
2006 ,"'C72 Cliff College' ","'UK' ",30
2006 ,"'C72 Cliff College' ","'Not EU' ",5
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'UK' ",565
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'EU (excluding UK)' ",10
2006 ,"'C75 University Centre Colchester at Colchester Institute' ","'Not EU' ",20
2006 ,"'C78 Cornwall College' ","'UK' ",580
2006 ,"'C78 Cornwall College' ","'EU (excluding UK)' ",15
2006 ,"'C78 Cornwall College' ","'Not EU' ",25
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'UK' ",210
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'EU (excluding UK)' ",30
2006 ,"'C80 Courtauld Institute of Art (University of London)' ","'Not EU' ",25
2006 ,"'C85 Coventry University' ","'UK' ",17300
2006 ,"'C85 Coventry University' ","'EU (excluding UK)' ",1075
2006 ,"'C85 Coventry University' ","'Not EU' ",1280
2006 ,"'C88 Craven College' ","'UK' ",20
2006 ,"'C88 Craven College' ","'Not EU' ",5
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'UK' ",635
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'EU (excluding UK)' ",40
2006 ,"'C92 University Centre, Croydon (Croydon College)' ","'Not EU' ",80
2006 ,"'C95 Cumbria Institute of the Arts' ","'UK' ",1590
2006 ,"'C95 Cumbria Institute of the Arts' ","'EU (excluding UK)' ",85
2006 ,"'C95 Cumbria Institute of the Arts' ","'Not EU' ",30
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'UK' ",700
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'EU (excluding UK)' ",35
2006 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'Not EU' ",20
2006 ,"'D22 Dearne Valley College' ","'UK' ",85
2006 ,"'D22 Dearne Valley College' ","'Not EU' ",5
2006 ,"'D26 De Montfort University' ","'UK' ",21940
2006 ,"'D26 De Montfort University' ","'EU (excluding UK)' ",515
2006 ,"'D26 De Montfort University' ","'Not EU' ",1075
2006 ,"'D39 University of Derby' ","'UK' ",12060
2006 ,"'D39 University of Derby' ","'EU (excluding UK)' ",375
2006 ,"'D39 University of Derby' ","'Not EU' ",435
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'UK' ",165
2006 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'Not EU' ",5
2006 ,"'D52 Doncaster College' ","'UK' ",615
2006 ,"'D52 Doncaster College' ","'EU (excluding UK)' ",15
2006 ,"'D52 Doncaster College' ","'Not EU' ",35
2006 ,"'D55 Duchy College' ","'UK' ",255
2006 ,"'D55 Duchy College' ","'EU (excluding UK)' ",5
2006 ,"'D55 Duchy College' ","'Not EU' ",5
2006 ,"'D58 Dudley College of Technology' ","'UK' ",55
2006 ,"'D58 Dudley College of Technology' ","'Not EU' ",15
2006 ,"'D65 University of Dundee' ","'UK' ",11680
2006 ,"'D65 University of Dundee' ","'EU (excluding UK)' ",1275
2006 ,"'D65 University of Dundee' ","'Not EU' ",775
2006 ,"'D70 Dunstable College' ","'UK' ",5
2006 ,"'D86 Durham University' ","'UK' ",24810
2006 ,"'D86 Durham University' ","'EU (excluding UK)' ",960
2006 ,"'D86 Durham University' ","'Not EU' ",2135
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'UK' ",110
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'EU (excluding UK)' ",5
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'Not EU' ",15
2006 ,"'E14 University of East Anglia (UEA)' ","'UK' ",11785
2006 ,"'E14 University of East Anglia (UEA)' ","'EU (excluding UK)' ",900
2006 ,"'E14 University of East Anglia (UEA)' ","'Not EU' ",1005
2006 ,"'E28 University of East London (UEL)' ","'UK' ",12530
2006 ,"'E28 University of East London (UEL)' ","'EU (excluding UK)' ",1090
2006 ,"'E28 University of East London (UEL)' ","'Not EU' ",1595
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'UK' ",55
2006 ,"'E42 Edge Hill University' ","'UK' ",8560
2006 ,"'E42 Edge Hill University' ","'EU (excluding UK)' ",50
2006 ,"'E42 Edge Hill University' ","'Not EU' ",105
2006 ,"'E56 The University of Edinburgh' ","'UK' ",36160
2006 ,"'E56 The University of Edinburgh' ","'EU (excluding UK)' ",4995
2006 ,"'E56 The University of Edinburgh' ","'Not EU' ",3960
2006 ,"'E58 Edinburgh College of Art' ","'UK' ",2200
2006 ,"'E58 Edinburgh College of Art' ","'EU (excluding UK)' ",345
2006 ,"'E58 Edinburgh College of Art' ","'Not EU' ",145
2006 ,"'E70 The University of Essex' ","'UK' ",8945
2006 ,"'E70 The University of Essex' ","'EU (excluding UK)' ",1130
2006 ,"'E70 The University of Essex' ","'Not EU' ",2255
2006 ,"'E77 European Business School, London' ","'UK' ",180
2006 ,"'E77 European Business School, London' ","'EU (excluding UK)' ",205
2006 ,"'E77 European Business School, London' ","'Not EU' ",230
2006 ,"'E80 European School of Osteopathy' ","'UK' ",120
2006 ,"'E80 European School of Osteopathy' ","'EU (excluding UK)' ",20
2006 ,"'E80 European School of Osteopathy' ","'Not EU' ",15
2006 ,"'E81 Exeter College' ","'UK' ",195
