"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_044_06.pdf"
 
Cycle Year,Achieved A-Level point score , Ethnic Group (Summary Level),Number of Applicants,
2011 ,"'18 points' ","'Mixed' ",220
2011 ,"'18 points' ","'White' ",4675
2011 ,"'18 points' ","'Other' ",55
2011 ,"'18 points' ","'Unknown' ",85
2012 ,"'3 points' ","'Asian' ",40
2012 ,"'3 points' ","'Black' ",15
2012 ,"'3 points' ","'Mixed' ",10
2012 ,"'3 points' ","'White' ",170
2012 ,"'3 points' ","'Other' ",5
2012 ,"'4 points' ","'Asian' ",170
2012 ,"'4 points' ","'Black' ",100
2012 ,"'4 points' ","'Mixed' ",50
2012 ,"'4 points' ","'White' ",830
2012 ,"'4 points' ","'Other' ",15
2012 ,"'4 points' ","'Unknown' ",5
2012 ,"'5 points' ","'Asian' ",395
2012 ,"'5 points' ","'Black' ",230
2012 ,"'5 points' ","'Mixed' ",95
2012 ,"'5 points' ","'White' ",2035
2012 ,"'5 points' ","'Other' ",35
2012 ,"'5 points' ","'Unknown' ",10
2012 ,"'6 points' ","'Asian' ",725
2012 ,"'6 points' ","'Black' ",375
2012 ,"'6 points' ","'Mixed' ",190
2012 ,"'6 points' ","'White' ",4140
2012 ,"'6 points' ","'Other' ",65
2012 ,"'6 points' ","'Unknown' ",30
2012 ,"'7 points' ","'Asian' ",1040
2012 ,"'7 points' ","'Black' ",540
2012 ,"'7 points' ","'Mixed' ",300
2012 ,"'7 points' ","'White' ",6695
2012 ,"'7 points' ","'Other' ",90
2012 ,"'7 points' ","'Unknown' ",40
2012 ,"'8 points' ","'Asian' ",1320
2012 ,"'8 points' ","'Black' ",650
2012 ,"'8 points' ","'Mixed' ",385
2012 ,"'8 points' ","'White' ",9385
2012 ,"'8 points' ","'Other' ",120
2012 ,"'8 points' ","'Unknown' ",50
2012 ,"'9 points' ","'Asian' ",1570
2012 ,"'9 points' ","'Black' ",725
2012 ,"'9 points' ","'Mixed' ",510
2012 ,"'9 points' ","'White' ",12245
2012 ,"'9 points' ","'Other' ",170
2012 ,"'9 points' ","'Unknown' ",60
2012 ,"'10 points' ","'Asian' ",1665
2012 ,"'10 points' ","'Black' ",730
2012 ,"'10 points' ","'Mixed' ",560
2012 ,"'10 points' ","'White' ",14235
2012 ,"'10 points' ","'Other' ",190
2012 ,"'10 points' ","'Unknown' ",65
2012 ,"'11 points' ","'Asian' ",1760
2012 ,"'11 points' ","'Black' ",665
2012 ,"'11 points' ","'Mixed' ",605
2012 ,"'11 points' ","'White' ",15090
2012 ,"'11 points' ","'Other' ",200
2012 ,"'11 points' ","'Unknown' ",80
2012 ,"'12 points' ","'Asian' ",1765
2012 ,"'12 points' ","'Black' ",625
2012 ,"'12 points' ","'Mixed' ",640
2012 ,"'12 points' ","'White' ",15570
2012 ,"'12 points' ","'Other' ",175
2012 ,"'12 points' ","'Unknown' ",75
2012 ,"'13 points' ","'Asian' ",1665
2012 ,"'13 points' ","'Black' ",485
2012 ,"'13 points' ","'Mixed' ",615
2012 ,"'13 points' ","'White' ",14870
2012 ,"'13 points' ","'Other' ",195
2012 ,"'13 points' ","'Unknown' ",100
2012 ,"'14 points' ","'Asian' ",1440
2012 ,"'14 points' ","'Black' ",395
2012 ,"'14 points' ","'Mixed' ",580
2012 ,"'14 points' ","'White' ",13420
2012 ,"'14 points' ","'Other' ",155
2012 ,"'14 points' ","'Unknown' ",95
2012 ,"'15 points' ","'Asian' ",1580
2012 ,"'15 points' ","'Black' ",260
2012 ,"'15 points' ","'Mixed' ",550
