"Statistic:   Number of Applicants"
"Variables:   Sex , Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_018_04.pdf"
 
Cycle Year,Sex , Age Band , Applicant Domicile (High Level),Number of Applicants,
2011 ,"'Women' ","'20' ","'Northern Ireland' ",690
2011 ,"'Women' ","'20' ","'Scotland' ",2185
2011 ,"'Women' ","'20' ","'Wales' ",1000
2011 ,"'Women' ","'21 and over' ","'England' ",84220
2011 ,"'Women' ","'21 and over' ","'Northern Ireland' ",2125
2011 ,"'Women' ","'21 and over' ","'Scotland' ",9585
2011 ,"'Women' ","'21 and over' ","'Wales' ",4395
2012 ,"'Men' ","'17 and under' ","'England' ",485
2012 ,"'Men' ","'17 and under' ","'Northern Ireland' ",20
2012 ,"'Men' ","'17 and under' ","'Scotland' ",395
2012 ,"'Men' ","'17 and under' ","'Wales' ",20
2012 ,"'Men' ","'18' ","'England' ",96575
2012 ,"'Men' ","'18' ","'Northern Ireland' ",5000
2012 ,"'Men' ","'18' ","'Scotland' ",8270
2012 ,"'Men' ","'18' ","'Wales' ",4905
2012 ,"'Men' ","'19' ","'England' ",37475
2012 ,"'Men' ","'19' ","'Northern Ireland' ",1250
2012 ,"'Men' ","'19' ","'Scotland' ",2580
2012 ,"'Men' ","'19' ","'Wales' ",1970
2012 ,"'Men' ","'20' ","'England' ",15710
2012 ,"'Men' ","'20' ","'Northern Ireland' ",680
2012 ,"'Men' ","'20' ","'Scotland' ",1665
2012 ,"'Men' ","'20' ","'Wales' ",885
2012 ,"'Men' ","'21 and over' ","'England' ",44800
2012 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1490
2012 ,"'Men' ","'21 and over' ","'Scotland' ",6000
2012 ,"'Men' ","'21 and over' ","'Wales' ",2495
2012 ,"'Women' ","'17 and under' ","'England' ",545
2012 ,"'Women' ","'17 and under' ","'Northern Ireland' ",35
2012 ,"'Women' ","'17 and under' ","'Scotland' ",565
2012 ,"'Women' ","'17 and under' ","'Wales' ",15
2012 ,"'Women' ","'18' ","'England' ",120985
2012 ,"'Women' ","'18' ","'Northern Ireland' ",6715
2012 ,"'Women' ","'18' ","'Scotland' ",11195
2012 ,"'Women' ","'18' ","'Wales' ",6715
2012 ,"'Women' ","'19' ","'England' ",43115
2012 ,"'Women' ","'19' ","'Northern Ireland' ",1555
2012 ,"'Women' ","'19' ","'Scotland' ",3475
2012 ,"'Women' ","'19' ","'Wales' ",2405
2012 ,"'Women' ","'20' ","'England' ",17310
2012 ,"'Women' ","'20' ","'Northern Ireland' ",710
2012 ,"'Women' ","'20' ","'Scotland' ",2160
2012 ,"'Women' ","'20' ","'Wales' ",1000
2012 ,"'Women' ","'21 and over' ","'England' ",77005
2012 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1920
2012 ,"'Women' ","'21 and over' ","'Scotland' ",8810
2012 ,"'Women' ","'21 and over' ","'Wales' ",4435
2013 ,"'Men' ","'17 and under' ","'England' ",505
2013 ,"'Men' ","'17 and under' ","'Northern Ireland' ",20
2013 ,"'Men' ","'17 and under' ","'Scotland' ",340
2013 ,"'Men' ","'17 and under' ","'Wales' ",25
2013 ,"'Men' ","'18' ","'England' ",97990
2013 ,"'Men' ","'18' ","'Northern Ireland' ",5175
2013 ,"'Men' ","'18' ","'Scotland' ",8305
2013 ,"'Men' ","'18' ","'Wales' ",4815
2013 ,"'Men' ","'19' ","'England' ",42710
2013 ,"'Men' ","'19' ","'Northern Ireland' ",1365
2013 ,"'Men' ","'19' ","'Scotland' ",2515
2013 ,"'Men' ","'19' ","'Wales' ",1985
2013 ,"'Men' ","'20' ","'England' ",16030
2013 ,"'Men' ","'20' ","'Northern Ireland' ",805
2013 ,"'Men' ","'20' ","'Scotland' ",1855
2013 ,"'Men' ","'20' ","'Wales' ",825
2013 ,"'Men' ","'21 and over' ","'England' ",45820
2013 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1665
2013 ,"'Men' ","'21 and over' ","'Scotland' ",6315
2013 ,"'Men' ","'21 and over' ","'Wales' ",2550
2013 ,"'Women' ","'17 and under' ","'England' ",565
2013 ,"'Women' ","'17 and under' ","'Northern Ireland' ",20
2013 ,"'Women' ","'17 and under' ","'Scotland' ",470
2013 ,"'Women' ","'17 and under' ","'Wales' ",30
2013 ,"'Women' ","'18' ","'England' ",122395
2013 ,"'Women' ","'18' ","'Northern Ireland' ",6545
2013 ,"'Women' ","'18' ","'Scotland' ",11115
2013 ,"'Women' ","'18' ","'Wales' ",6505
2013 ,"'Women' ","'19' ","'England' ",48510
2013 ,"'Women' ","'19' ","'Northern Ireland' ",1730
2013 ,"'Women' ","'19' ","'Scotland' ",3375
2013 ,"'Women' ","'19' ","'Wales' ",2465
2013 ,"'Women' ","'20' ","'England' ",18035
2013 ,"'Women' ","'20' ","'Northern Ireland' ",725
2013 ,"'Women' ","'20' ","'Scotland' ",2315
2013 ,"'Women' ","'20' ","'Wales' ",970
2013 ,"'Women' ","'21 and over' ","'England' ",78565
2013 ,"'Women' ","'21 and over' ","'Northern Ireland' ",2495
2013 ,"'Women' ","'21 and over' ","'Scotland' ",9115
2013 ,"'Women' ","'21 and over' ","'Wales' ",4430
2014 ,"'Men' ","'17 and under' ","'England' ",505
2014 ,"'Men' ","'17 and under' ","'Northern Ireland' ",10
2014 ,"'Men' ","'17 and under' ","'Scotland' ",275
2014 ,"'Men' ","'17 and under' ","'Wales' ",15
2014 ,"'Men' ","'18' ","'England' ",100710
2014 ,"'Men' ","'18' ","'Northern Ireland' ",5100
2014 ,"'Men' ","'18' ","'Scotland' ",8070
2014 ,"'Men' ","'18' ","'Wales' ",5045
2014 ,"'Men' ","'19' ","'England' ",43035
2014 ,"'Men' ","'19' ","'Northern Ireland' ",1480
2014 ,"'Men' ","'19' ","'Scotland' ",2370
2014 ,"'Men' ","'19' ","'Wales' ",1995
2014 ,"'Men' ","'20' ","'England' ",16960
2014 ,"'Men' ","'20' ","'Northern Ireland' ",815
2014 ,"'Men' ","'20' ","'Scotland' ",1715
2014 ,"'Men' ","'20' ","'Wales' ",800
2014 ,"'Men' ","'21 and over' ","'England' ",48175
2014 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1655
2014 ,"'Men' ","'21 and over' ","'Scotland' ",5900
2014 ,"'Men' ","'21 and over' ","'Wales' ",2455
2014 ,"'Women' ","'17 and under' ","'England' ",610
2014 ,"'Women' ","'17 and under' ","'Northern Ireland' ",20
2014 ,"'Women' ","'17 and under' ","'Scotland' ",440
2014 ,"'Women' ","'17 and under' ","'Wales' ",20
2014 ,"'Women' ","'18' ","'England' ",125405
2014 ,"'Women' ","'18' ","'Northern Ireland' ",6415
2014 ,"'Women' ","'18' ","'Scotland' ",11345
2014 ,"'Women' ","'18' ","'Wales' ",6670
2014 ,"'Women' ","'19' ","'England' ",49830
2014 ,"'Women' ","'19' ","'Northern Ireland' ",1720
2014 ,"'Women' ","'19' ","'Scotland' ",3255
2014 ,"'Women' ","'19' ","'Wales' ",2535
2014 ,"'Women' ","'20' ","'England' ",19390
2014 ,"'Women' ","'20' ","'Northern Ireland' ",855
2014 ,"'Women' ","'20' ","'Scotland' ",2225
2014 ,"'Women' ","'20' ","'Wales' ",950
2014 ,"'Women' ","'21 and over' ","'England' ",83250
2014 ,"'Women' ","'21 and over' ","'Northern Ireland' ",2510
2014 ,"'Women' ","'21 and over' ","'Scotland' ",9185
2014 ,"'Women' ","'21 and over' ","'Wales' ",4580
2015 ,"'Men' ","'17 and under' ","'England' ",550
2015 ,"'Men' ","'17 and under' ","'Northern Ireland' ",15
2015 ,"'Men' ","'17 and under' ","'Scotland' ",345
2015 ,"'Men' ","'17 and under' ","'Wales' ",5
2015 ,"'Men' ","'18' ","'England' ",103155
2015 ,"'Men' ","'18' ","'Northern Ireland' ",5145
2015 ,"'Men' ","'18' ","'Scotland' ",8345
2015 ,"'Men' ","'18' ","'Wales' ",5085
2015 ,"'Men' ","'19' ","'England' ",43805
2015 ,"'Men' ","'19' ","'Northern Ireland' ",1490
2015 ,"'Men' ","'19' ","'Scotland' ",2570
2015 ,"'Men' ","'19' ","'Wales' ",2030
2015 ,"'Men' ","'20' ","'England' ",16500
2015 ,"'Men' ","'20' ","'Northern Ireland' ",745
2015 ,"'Men' ","'20' ","'Scotland' ",1825
2015 ,"'Men' ","'20' ","'Wales' ",815
2015 ,"'Men' ","'21 and over' ","'England' ",47000
2015 ,"'Men' ","'21 and over' ","'Northern Ireland' ",1705
2015 ,"'Men' ","'21 and over' ","'Scotland' ",7395
2015 ,"'Men' ","'21 and over' ","'Wales' ",2310
2015 ,"'Women' ","'17 and under' ","'England' ",580
2015 ,"'Women' ","'17 and under' ","'Northern Ireland' ",20
2015 ,"'Women' ","'17 and under' ","'Scotland' ",545
2015 ,"'Women' ","'17 and under' ","'Wales' ",20
2015 ,"'Women' ","'18' ","'England' ",132070
2015 ,"'Women' ","'18' ","'Northern Ireland' ",6845
2015 ,"'Women' ","'18' ","'Scotland' ",11660
2015 ,"'Women' ","'18' ","'Wales' ",7065
2015 ,"'Women' ","'19' ","'England' ",50565
2015 ,"'Women' ","'19' ","'Northern Ireland' ",1735
2015 ,"'Women' ","'19' ","'Scotland' ",3515
2015 ,"'Women' ","'19' ","'Wales' ",2415
2015 ,"'Women' ","'20' ","'England' ",18655
2015 ,"'Women' ","'20' ","'Northern Ireland' ",780
2015 ,"'Women' ","'20' ","'Scotland' ",2325
2015 ,"'Women' ","'20' ","'Wales' ",985
2015 ,"'Women' ","'21 and over' ","'England' ",81615
2015 ,"'Women' ","'21 and over' ","'Northern Ireland' ",2555
2015 ,"'Women' ","'21 and over' ","'Scotland' ",12775
2015 ,"'Women' ","'21 and over' ","'Wales' ",4470
2016 ,"'Men' ","'17 and under' ","'England' ",540
2016 ,"'Men' ","'17 and under' ","'Northern Ireland' ",15
2016 ,"'Men' ","'17 and under' ","'Scotland' ",385
2016 ,"'Men' ","'17 and under' ","'Wales' ",20
2016 ,"'Men' ","'18' ","'England' ",104310
2016 ,"'Men' ","'18' ","'Northern Ireland' ",5085
2016 ,"'Men' ","'18' ","'Scotland' ",8040
2016 ,"'Men' ","'18' ","'Wales' ",5045
2016 ,"'Men' ","'19' ","'England' ",43310
2016 ,"'Men' ","'19' ","'Northern Ireland' ",1645
2016 ,"'Men' ","'19' ","'Scotland' ",2655
2016 ,"'Men' ","'19' ","'Wales' ",2045
2016 ,"'Men' ","'20' ","'England' ",16045
2016 ,"'Men' ","'20' ","'Northern Ireland' ",815
2016 ,"'Men' ","'20' ","'Scotland' ",1840
2016 ,"'Men' ","'20' ","'Wales' ",760
2016 ,"'Men' ","'21 and over' ","'England' ",44795
