"Statistic:   Number of Acceptances"
"Variables:   Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR3_009_01.pdf"
 
Cycle Year,Provider Country 2016 , Applicant Domicile (High Level) , Age Band , Sex,Number of Acceptances,
2007 ,"'Scotland' ","'Scotland' ","'18' ","'Women' ",7220
2007 ,"'Scotland' ","'Scotland' ","'19' ","'Men' ",1420
2007 ,"'Scotland' ","'Scotland' ","'19' ","'Women' ",1605
2007 ,"'Scotland' ","'Scotland' ","'20' ","'Men' ",885
2007 ,"'Scotland' ","'Scotland' ","'20' ","'Women' ",1050
2007 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Men' ",3015
2007 ,"'Scotland' ","'Scotland' ","'21 and over' ","'Women' ",3555
2007 ,"'Scotland' ","'Wales' ","'18' ","'Men' ",25
2007 ,"'Scotland' ","'Wales' ","'18' ","'Women' ",35
2007 ,"'Scotland' ","'Wales' ","'19' ","'Men' ",10
2007 ,"'Scotland' ","'Wales' ","'19' ","'Women' ",10
2007 ,"'Scotland' ","'Wales' ","'20' ","'Men' ",5
2007 ,"'Scotland' ","'Wales' ","'20' ","'Women' ",5
2007 ,"'Scotland' ","'Wales' ","'21 and over' ","'Men' ",5
2007 ,"'Scotland' ","'Wales' ","'21 and over' ","'Women' ",5
2007 ,"'Wales' ","'England' ","'17 and under' ","'Men' ",15
2007 ,"'Wales' ","'England' ","'17 and under' ","'Women' ",15
2007 ,"'Wales' ","'England' ","'18' ","'Men' ",2520
2007 ,"'Wales' ","'England' ","'18' ","'Women' ",3015
2007 ,"'Wales' ","'England' ","'19' ","'Men' ",810
2007 ,"'Wales' ","'England' ","'19' ","'Women' ",860
2007 ,"'Wales' ","'England' ","'20' ","'Men' ",220
2007 ,"'Wales' ","'England' ","'20' ","'Women' ",165
2007 ,"'Wales' ","'England' ","'21 and over' ","'Men' ",440
2007 ,"'Wales' ","'England' ","'21 and over' ","'Women' ",370
2007 ,"'Wales' ","'Northern Ireland' ","'18' ","'Men' ",25
2007 ,"'Wales' ","'Northern Ireland' ","'18' ","'Women' ",35
2007 ,"'Wales' ","'Northern Ireland' ","'19' ","'Men' ",10
2007 ,"'Wales' ","'Northern Ireland' ","'19' ","'Women' ",10
2007 ,"'Wales' ","'Northern Ireland' ","'20' ","'Men' ",5
2007 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Men' ",10
2007 ,"'Wales' ","'Northern Ireland' ","'21 and over' ","'Women' ",5
2007 ,"'Wales' ","'Scotland' ","'18' ","'Men' ",10
2007 ,"'Wales' ","'Scotland' ","'18' ","'Women' ",5
2007 ,"'Wales' ","'Scotland' ","'19' ","'Women' ",5
2007 ,"'Wales' ","'Scotland' ","'21 and over' ","'Men' ",10
2007 ,"'Wales' ","'Scotland' ","'21 and over' ","'Women' ",10
2007 ,"'Wales' ","'Wales' ","'17 and under' ","'Men' ",10
2007 ,"'Wales' ","'Wales' ","'17 and under' ","'Women' ",20
2007 ,"'Wales' ","'Wales' ","'18' ","'Men' ",2640
2007 ,"'Wales' ","'Wales' ","'18' ","'Women' ",3545
2007 ,"'Wales' ","'Wales' ","'19' ","'Men' ",900
2007 ,"'Wales' ","'Wales' ","'19' ","'Women' ",1030
2007 ,"'Wales' ","'Wales' ","'20' ","'Men' ",385
