"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Entry Year"
"Coverage:   Accepted through the main scheme, UK domiciled and direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_020_02.pdf"
 
Entry Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Northern Ireland' ",5
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Wales' ",5
2007 ,"'C69 City of Sunderland College' ","'England' ",65
2007 ,"'C71 Cleveland College of Art and Design' ","'England' ",195
2007 ,"'C72 Cliff College' ","'England' ",20
2007 ,"'C75 University Centre Colchester at Colchester Institute' ","'England' ",275
2007 ,"'C75 University Centre Colchester at Colchester Institute' ","'Wales' ",5
2007 ,"'C78 Cornwall College' ","'England' ",210
2007 ,"'C78 Cornwall College' ","'Wales' ",5
2007 ,"'C80 Courtauld Institute of Art (University of London)' ","'England' ",40
2007 ,"'C85 Coventry University' ","'England' ",2590
2007 ,"'C85 Coventry University' ","'Northern Ireland' ",10
2007 ,"'C85 Coventry University' ","'Scotland' ",5
2007 ,"'C85 Coventry University' ","'Wales' ",35
2007 ,"'C88 Craven College' ","'England' ",15
2007 ,"'C92 University Centre, Croydon (Croydon College)' ","'England' ",75
2007 ,"'C95 Cumbria Institute of the Arts' ","'England' ",245
2007 ,"'C95 Cumbria Institute of the Arts' ","'Northern Ireland' ",5
2007 ,"'C95 Cumbria Institute of the Arts' ","'Scotland' ",55
2007 ,"'C95 Cumbria Institute of the Arts' ","'Wales' ",10
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'England' ",140
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'Scotland' ",5
2007 ,"'D13 Dartington College of Arts (now known as University College Falmouth inc Dartington College of Arts)' ","'Wales' ",5
2007 ,"'D22 Dearne Valley College' ","'England' ",25
2007 ,"'D26 De Montfort University' ","'England' ",3290
2007 ,"'D26 De Montfort University' ","'Northern Ireland' ",15
2007 ,"'D26 De Montfort University' ","'Scotland' ",5
2007 ,"'D26 De Montfort University' ","'Wales' ",40
2007 ,"'D39 University of Derby' ","'England' ",2045
2007 ,"'D39 University of Derby' ","'Northern Ireland' ",10
2007 ,"'D39 University of Derby' ","'Scotland' ",5
2007 ,"'D39 University of Derby' ","'Wales' ",25
2007 ,"'D45 Kirklees College (Formerly Dewsbury College)' ","'England' ",80
2007 ,"'D52 Doncaster College' ","'England' ",190
2007 ,"'D55 Duchy College' ","'England' ",85
2007 ,"'D58 Dudley College of Technology' ","'England' ",5
2007 ,"'D65 University of Dundee' ","'England' ",125
2007 ,"'D65 University of Dundee' ","'Northern Ireland' ",95
2007 ,"'D65 University of Dundee' ","'Scotland' ",1455
2007 ,"'D65 University of Dundee' ","'Wales' ",5
2007 ,"'D86 Durham University' ","'England' ",2980
2007 ,"'D86 Durham University' ","'Northern Ireland' ",45
2007 ,"'D86 Durham University' ","'Scotland' ",65
2007 ,"'D86 Durham University' ","'Wales' ",65
2007 ,"'E10 Ealing, Hammersmith and West London College' ","'England' ",5
2007 ,"'E14 University of East Anglia (UEA)' ","'England' ",2285
2007 ,"'E14 University of East Anglia (UEA)' ","'Northern Ireland' ",10
2007 ,"'E14 University of East Anglia (UEA)' ","'Scotland' ",10
2007 ,"'E14 University of East Anglia (UEA)' ","'Wales' ",15
2007 ,"'E28 University of East London (UEL)' ","'England' ",1735
2007 ,"'E28 University of East London (UEL)' ","'Northern Ireland' ",5
2007 ,"'E28 University of East London (UEL)' ","'Scotland' ",5
2007 ,"'E28 University of East London (UEL)' ","'Wales' ",15
2007 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'England' ",25
2007 ,"'E42 Edge Hill University' ","'England' ",1755
2007 ,"'E42 Edge Hill University' ","'Northern Ireland' ",15
2007 ,"'E42 Edge Hill University' ","'Wales' ",25
2007 ,"'E56 The University of Edinburgh' ","'England' ",1285
2007 ,"'E56 The University of Edinburgh' ","'Northern Ireland' ",95
2007 ,"'E56 The University of Edinburgh' ","'Scotland' ",2200
2007 ,"'E56 The University of Edinburgh' ","'Wales' ",30
2007 ,"'E58 Edinburgh College of Art' ","'England' ",100
2007 ,"'E58 Edinburgh College of Art' ","'Northern Ireland' ",10
2007 ,"'E58 Edinburgh College of Art' ","'Scotland' ",165
2007 ,"'E58 Edinburgh College of Art' ","'Wales' ",5
2007 ,"'E70 The University of Essex' ","'England' ",1320
2007 ,"'E70 The University of Essex' ","'Northern Ireland' ",5
2007 ,"'E70 The University of Essex' ","'Scotland' ",10
2007 ,"'E70 The University of Essex' ","'Wales' ",5
2007 ,"'E77 European Business School, London' ","'England' ",10
2007 ,"'E81 Exeter College' ","'England' ",55
2007 ,"'E84 University of Exeter' ","'England' ",2935
2007 ,"'E84 University of Exeter' ","'Northern Ireland' ",10
2007 ,"'E84 University of Exeter' ","'Scotland' ",15
2007 ,"'E84 University of Exeter' ","'Wales' ",145
2007 ,"'F33 Falmouth University' ","'England' ",680
2007 ,"'F33 Falmouth University' ","'Scotland' ",5
2007 ,"'F33 Falmouth University' ","'Wales' ",35
2007 ,"'F66 University Centre Farnborough' ","'England' ",115
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'England' ",475
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Northern Ireland' ",5
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Scotland' ",10
2007 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Wales' ",1890
2007 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'England' ",5
2007 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'Wales' ",10
2007 ,"'G28 University of Glasgow' ","'England' ",365
2007 ,"'G28 University of Glasgow' ","'Northern Ireland' ",180
2007 ,"'G28 University of Glasgow' ","'Scotland' ",3050
2007 ,"'G28 University of Glasgow' ","'Wales' ",15
2007 ,"'G42 Glasgow Caledonian University' ","'England' ",30
2007 ,"'G42 Glasgow Caledonian University' ","'Northern Ireland' ",60
2007 ,"'G42 Glasgow Caledonian University' ","'Scotland' ",2365
2007 ,"'G43 The Glasgow School of Art' ","'England' ",110
2007 ,"'G43 The Glasgow School of Art' ","'Northern Ireland' ",5
2007 ,"'G43 The Glasgow School of Art' ","'Scotland' ",165
2007 ,"'G43 The Glasgow School of Art' ","'Wales' ",5
2007 ,"'G45 Gloucestershire College' ","'England' ",30
2007 ,"'G50 The University of Gloucestershire' ","'England' ",1745
2007 ,"'G50 The University of Gloucestershire' ","'Northern Ireland' ",5
2007 ,"'G50 The University of Gloucestershire' ","'Scotland' ",5
2007 ,"'G50 The University of Gloucestershire' ","'Wales' ",55
2007 ,"'G56 Goldsmiths, University of London' ","'England' ",1065
2007 ,"'G56 Goldsmiths, University of London' ","'Northern Ireland' ",5
2007 ,"'G56 Goldsmiths, University of London' ","'Scotland' ",5
2007 ,"'G56 Goldsmiths, University of London' ","'Wales' ",15
2007 ,"'G70 University of Greenwich' ","'England' ",1975
2007 ,"'G70 University of Greenwich' ","'Northern Ireland' ",5
2007 ,"'G70 University of Greenwich' ","'Scotland' ",10
2007 ,"'G70 University of Greenwich' ","'Wales' ",10
2007 ,"'G74 GSM London (formerly Greenwich School of Management)' ","'England' ",20
2007 ,"'G80 University Centre Grimsby' ","'England' ",130
2007 ,"'G90 Guildford College' ","'England' ",90
2007 ,"'H12 Harper Adams University' ","'England' ",370
2007 ,"'H12 Harper Adams University' ","'Northern Ireland' ",15
2007 ,"'H12 Harper Adams University' ","'Scotland' ",15
2007 ,"'H12 Harper Adams University' ","'Wales' ",45
2007 ,"'H14 Havering College of Further and Higher Education' ","'England' ",110
2007 ,"'H18 Hereford College of Arts' ","'England' ",70
2007 ,"'H18 Hereford College of Arts' ","'Wales' ",10
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'England' ",130
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'Northern Ireland' ",80
2007 ,"'H24 Heriot-Watt University, Edinburgh' ","'Scotland' ",835
2007 ,"'H36 University of Hertfordshire' ","'England' ",3240
2007 ,"'H36 University of Hertfordshire' ","'Northern Ireland' ",10
2007 ,"'H36 University of Hertfordshire' ","'Scotland' ",5
2007 ,"'H36 University of Hertfordshire' ","'Wales' ",15
2007 ,"'H39 Highbury College' ","'England' ",10
2007 ,"'H48 Heythrop College (University of London)' ","'England' ",115
2007 ,"'H49 University of the Highlands and Islands' ","'Scotland' ",110
2007 ,"'H54 Hopwood Hall College' ","'England' ",15
2007 ,"'H60 The University of Huddersfield' ","'England' ",2860
2007 ,"'H60 The University of Huddersfield' ","'Northern Ireland' ",25
2007 ,"'H60 The University of Huddersfield' ","'Scotland' ",5
2007 ,"'H60 The University of Huddersfield' ","'Wales' ",20
2007 ,"'H72 The University of Hull' ","'England' ",2405
2007 ,"'H72 The University of Hull' ","'Northern Ireland' ",10
2007 ,"'H72 The University of Hull' ","'Scotland' ",10
2007 ,"'H72 The University of Hull' ","'Wales' ",10
2007 ,"'H73 Hull College' ","'England' ",300
2007 ,"'H73 Hull College' ","'Northern Ireland' ",5
2007 ,"'H73 Hull College' ","'Scotland' ",15
2007 ,"'H75 Hull York Medical School' ","'England' ",115
2007 ,"'I50 Imperial College London' ","'England' ",1340
2007 ,"'I50 Imperial College London' ","'Northern Ireland' ",10
2007 ,"'I50 Imperial College London' ","'Scotland' ",20
2007 ,"'I50 Imperial College London' ","'Wales' ",50
2007 ,"'K12 Keele University' ","'England' ",1230
2007 ,"'K12 Keele University' ","'Northern Ireland' ",5
2007 ,"'K12 Keele University' ","'Scotland' ",5
2007 ,"'K12 Keele University' ","'Wales' ",40
2007 ,"'K24 The University of Kent' ","'England' ",2755
2007 ,"'K24 The University of Kent' ","'Northern Ireland' ",10
2007 ,"'K24 The University of Kent' ","'Scotland' ",5
2007 ,"'K24 The University of Kent' ","'Wales' ",20
