"Statistic:   Number of Applicants"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_06.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Applicants,
2008 ,"'Other' ","'18' ","'Women' ","'England' ",4325
2008 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",90
2008 ,"'Other' ","'18' ","'Women' ","'Scotland' ",85
2008 ,"'Other' ","'18' ","'Women' ","'Wales' ",160
2008 ,"'Other' ","'19' ","'Men' ","'England' ",3995
2008 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",60
2008 ,"'Other' ","'19' ","'Men' ","'Scotland' ",150
2008 ,"'Other' ","'19' ","'Men' ","'Wales' ",155
2008 ,"'Other' ","'19' ","'Women' ","'England' ",6595
2008 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",115
2008 ,"'Other' ","'19' ","'Women' ","'Scotland' ",230
2008 ,"'Other' ","'19' ","'Women' ","'Wales' ",325
2009 ,"'Academy' ","'18' ","'Men' ","'England' ",27950
2009 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",15
2009 ,"'Academy' ","'18' ","'Men' ","'Wales' ",20
2009 ,"'Academy' ","'18' ","'Women' ","'England' ",34540
2009 ,"'Academy' ","'18' ","'Women' ","'Scotland' ",10
2009 ,"'Academy' ","'18' ","'Women' ","'Wales' ",35
2009 ,"'Academy' ","'19' ","'Men' ","'England' ",6320
2009 ,"'Academy' ","'19' ","'Men' ","'Scotland' ",5
2009 ,"'Academy' ","'19' ","'Men' ","'Wales' ",10
2009 ,"'Academy' ","'19' ","'Women' ","'England' ",6795
2009 ,"'Academy' ","'19' ","'Women' ","'Scotland' ",5
2009 ,"'Academy' ","'19' ","'Women' ","'Wales' ",5
2009 ,"'Further education' ","'18' ","'Men' ","'England' ",9250
2009 ,"'Further education' ","'18' ","'Men' ","'Northern Ireland' ",380
2009 ,"'Further education' ","'18' ","'Men' ","'Scotland' ",110
