"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Ethnic Group (Summary Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_012_02.pdf"
 
Cycle Year,Provider Name , Ethnic Group (Summary Level),Number of Acceptances,
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'White' ",1505
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Other' ",15
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Unknown' ",25
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Asian' ",265
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Black' ",35
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Mixed' ",65
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'White' ",3150
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Other' ",15
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Unknown' ",25
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Asian' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Black' ",15
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'Mixed' ",5
2006 ,"'C35 The Royal Central School of Speech and Drama, University of London' ","'White' ",135
2006 ,"'C55 University of Chester' ","'Asian' ",35
2006 ,"'C55 University of Chester' ","'Black' ",30
2006 ,"'C55 University of Chester' ","'Mixed' ",25
2006 ,"'C55 University of Chester' ","'White' ",1995
2006 ,"'C55 University of Chester' ","'Other' ",5
2006 ,"'C55 University of Chester' ","'Unknown' ",15
2006 ,"'C56 Chesterfield College' ","'White' ",50
2006 ,"'C57 Chichester College' ","'Mixed' ",5
2006 ,"'C57 Chichester College' ","'White' ",40
2006 ,"'C58 University of Chichester' ","'Asian' ",5
2006 ,"'C58 University of Chichester' ","'Black' ",10
2006 ,"'C58 University of Chichester' ","'Mixed' ",25
2006 ,"'C58 University of Chichester' ","'White' ",860
2006 ,"'C58 University of Chichester' ","'Unknown' ",5
2006 ,"'C60 City, University of London' ","'Asian' ",560
2006 ,"'C60 City, University of London' ","'Black' ",160
2006 ,"'C60 City, University of London' ","'Mixed' ",55
2006 ,"'C60 City, University of London' ","'White' ",400
2006 ,"'C60 City, University of London' ","'Other' ",50
2006 ,"'C60 City, University of London' ","'Unknown' ",20
2006 ,"'C62 City College, Birmingham' ","'Asian' ",5
