"Statistic:   Number of Applicants"
"Variables:   Achieved A-Level point score , POLAR3 Quintile , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_042_06.pdf"
 
Cycle Year,Achieved A-Level point score , POLAR3 Quintile,Number of Applicants,
2012 ,"'11 points' ","'POLAR3 Quintile 1' ",1775
2012 ,"'11 points' ","'POLAR3 Quintile 2' ",2700
2012 ,"'11 points' ","'POLAR3 Quintile 3' ",3510
2012 ,"'11 points' ","'POLAR3 Quintile 4' ",4540
2012 ,"'11 points' ","'POLAR3 Quintile 5' ",5855
2012 ,"'11 points' ","'Not assigned' ",25
2012 ,"'12 points' ","'POLAR3 Quintile 1' ",1575
2012 ,"'12 points' ","'POLAR3 Quintile 2' ",2570
2012 ,"'12 points' ","'POLAR3 Quintile 3' ",3485
2012 ,"'12 points' ","'POLAR3 Quintile 4' ",4750
2012 ,"'12 points' ","'POLAR3 Quintile 5' ",6430
2012 ,"'12 points' ","'Not assigned' ",35
2012 ,"'13 points' ","'POLAR3 Quintile 1' ",1305
2012 ,"'13 points' ","'POLAR3 Quintile 2' ",2220
2012 ,"'13 points' ","'POLAR3 Quintile 3' ",3120
2012 ,"'13 points' ","'POLAR3 Quintile 4' ",4610
2012 ,"'13 points' ","'POLAR3 Quintile 5' ",6650
2012 ,"'13 points' ","'Not assigned' ",25
2012 ,"'14 points' ","'POLAR3 Quintile 1' ",1040
2012 ,"'14 points' ","'POLAR3 Quintile 2' ",1830
2012 ,"'14 points' ","'POLAR3 Quintile 3' ",2785
2012 ,"'14 points' ","'POLAR3 Quintile 4' ",3900
2012 ,"'14 points' ","'POLAR3 Quintile 5' ",6520
2012 ,"'14 points' ","'Not assigned' ",15
2012 ,"'15 points' ","'POLAR3 Quintile 1' ",890
2012 ,"'15 points' ","'POLAR3 Quintile 2' ",1595
2012 ,"'15 points' ","'POLAR3 Quintile 3' ",2500
2012 ,"'15 points' ","'POLAR3 Quintile 4' ",3910
2012 ,"'15 points' ","'POLAR3 Quintile 5' ",6835
2012 ,"'15 points' ","'Not assigned' ",25
2012 ,"'16 points' ","'POLAR3 Quintile 1' ",560
2012 ,"'16 points' ","'POLAR3 Quintile 2' ",1095
2012 ,"'16 points' ","'POLAR3 Quintile 3' ",1695
2012 ,"'16 points' ","'POLAR3 Quintile 4' ",2955
2012 ,"'16 points' ","'POLAR3 Quintile 5' ",5340
2012 ,"'16 points' ","'Not assigned' ",20
2012 ,"'17 points' ","'POLAR3 Quintile 1' ",325
2012 ,"'17 points' ","'POLAR3 Quintile 2' ",600
2012 ,"'17 points' ","'POLAR3 Quintile 3' ",1010
2012 ,"'17 points' ","'POLAR3 Quintile 4' ",1680
2012 ,"'17 points' ","'POLAR3 Quintile 5' ",3300
2012 ,"'17 points' ","'Not assigned' ",10
2012 ,"'18 points' ","'POLAR3 Quintile 1' ",195
2012 ,"'18 points' ","'POLAR3 Quintile 2' ",425
2012 ,"'18 points' ","'POLAR3 Quintile 3' ",730
2012 ,"'18 points' ","'POLAR3 Quintile 4' ",1320
2012 ,"'18 points' ","'POLAR3 Quintile 5' ",2920
2012 ,"'18 points' ","'Not assigned' ",5
2013 ,"'3 points' ","'POLAR3 Quintile 1' ",40
2013 ,"'3 points' ","'POLAR3 Quintile 2' ",55
2013 ,"'3 points' ","'POLAR3 Quintile 3' ",65
2013 ,"'3 points' ","'POLAR3 Quintile 4' ",70
2013 ,"'3 points' ","'POLAR3 Quintile 5' ",55
2013 ,"'4 points' ","'POLAR3 Quintile 1' ",130
2013 ,"'4 points' ","'POLAR3 Quintile 2' ",170
2013 ,"'4 points' ","'POLAR3 Quintile 3' ",215
2013 ,"'4 points' ","'POLAR3 Quintile 4' ",215
2013 ,"'4 points' ","'POLAR3 Quintile 5' ",250
2013 ,"'5 points' ","'POLAR3 Quintile 1' ",365
2013 ,"'5 points' ","'POLAR3 Quintile 2' ",485
2013 ,"'5 points' ","'POLAR3 Quintile 3' ",585
2013 ,"'5 points' ","'POLAR3 Quintile 4' ",590
2013 ,"'5 points' ","'POLAR3 Quintile 5' ",645
2013 ,"'5 points' ","'Not assigned' ",5
2013 ,"'6 points' ","'POLAR3 Quintile 1' ",640
2013 ,"'6 points' ","'POLAR3 Quintile 2' ",910
2013 ,"'6 points' ","'POLAR3 Quintile 3' ",1045
2013 ,"'6 points' ","'POLAR3 Quintile 4' ",1230
2013 ,"'6 points' ","'POLAR3 Quintile 5' ",1285
2013 ,"'6 points' ","'Not assigned' ",15
2013 ,"'7 points' ","'POLAR3 Quintile 1' ",985
2013 ,"'7 points' ","'POLAR3 Quintile 2' ",1435
2013 ,"'7 points' ","'POLAR3 Quintile 3' ",1755
2013 ,"'7 points' ","'POLAR3 Quintile 4' ",1975
2013 ,"'7 points' ","'POLAR3 Quintile 5' ",2200
2013 ,"'7 points' ","'Not assigned' ",15
2013 ,"'8 points' ","'POLAR3 Quintile 1' ",1340
2013 ,"'8 points' ","'POLAR3 Quintile 2' ",1920
2013 ,"'8 points' ","'POLAR3 Quintile 3' ",2495
2013 ,"'8 points' ","'POLAR3 Quintile 4' ",2775
2013 ,"'8 points' ","'POLAR3 Quintile 5' ",3120
2013 ,"'8 points' ","'Not assigned' ",15
2013 ,"'9 points' ","'POLAR3 Quintile 1' ",1625
2013 ,"'9 points' ","'POLAR3 Quintile 2' ",2380
2013 ,"'9 points' ","'POLAR3 Quintile 3' ",3235
2013 ,"'9 points' ","'POLAR3 Quintile 4' ",3615
2013 ,"'9 points' ","'POLAR3 Quintile 5' ",4265
2013 ,"'9 points' ","'Not assigned' ",15
2013 ,"'10 points' ","'POLAR3 Quintile 1' ",1730
2013 ,"'10 points' ","'POLAR3 Quintile 2' ",2730
2013 ,"'10 points' ","'POLAR3 Quintile 3' ",3500
2013 ,"'10 points' ","'POLAR3 Quintile 4' ",4460
2013 ,"'10 points' ","'POLAR3 Quintile 5' ",5090
2013 ,"'10 points' ","'Not assigned' ",20
2013 ,"'11 points' ","'POLAR3 Quintile 1' ",1775
2013 ,"'11 points' ","'POLAR3 Quintile 2' ",2655
2013 ,"'11 points' ","'POLAR3 Quintile 3' ",3525
2013 ,"'11 points' ","'POLAR3 Quintile 4' ",4625
2013 ,"'11 points' ","'POLAR3 Quintile 5' ",5765
2013 ,"'11 points' ","'Not assigned' ",20
2013 ,"'12 points' ","'POLAR3 Quintile 1' ",1585
2013 ,"'12 points' ","'POLAR3 Quintile 2' ",2640
2013 ,"'12 points' ","'POLAR3 Quintile 3' ",3580
2013 ,"'12 points' ","'POLAR3 Quintile 4' ",4785
2013 ,"'12 points' ","'POLAR3 Quintile 5' ",6620
2013 ,"'12 points' ","'Not assigned' ",30
2013 ,"'13 points' ","'POLAR3 Quintile 1' ",1300
2013 ,"'13 points' ","'POLAR3 Quintile 2' ",2235
2013 ,"'13 points' ","'POLAR3 Quintile 3' ",3165
2013 ,"'13 points' ","'POLAR3 Quintile 4' ",4595
2013 ,"'13 points' ","'POLAR3 Quintile 5' ",6595
2013 ,"'13 points' ","'Not assigned' ",15
2013 ,"'14 points' ","'POLAR3 Quintile 1' ",1070
2013 ,"'14 points' ","'POLAR3 Quintile 2' ",1835
2013 ,"'14 points' ","'POLAR3 Quintile 3' ",2660
2013 ,"'14 points' ","'POLAR3 Quintile 4' ",4085
2013 ,"'14 points' ","'POLAR3 Quintile 5' ",6360
2013 ,"'14 points' ","'Not assigned' ",25
2013 ,"'15 points' ","'POLAR3 Quintile 1' ",785
2013 ,"'15 points' ","'POLAR3 Quintile 2' ",1675
2013 ,"'15 points' ","'POLAR3 Quintile 3' ",2395
2013 ,"'15 points' ","'POLAR3 Quintile 4' ",3900
2013 ,"'15 points' ","'POLAR3 Quintile 5' ",6740
2013 ,"'15 points' ","'Not assigned' ",25
