"Statistic:   Number of Acceptances"
"Variables:   Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled 18/19 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_031_05.pdf"
 
Cycle Year,Apply Centre Type , Age Band , Sex , Applicant Domicile (High Level),Number of Acceptances,
2010 ,"'Sixth form college' ","'18' ","'Women' ","'Northern Ireland' ",15
2010 ,"'Sixth form college' ","'18' ","'Women' ","'Wales' ",255
2010 ,"'Sixth form college' ","'19' ","'Men' ","'England' ",7415
2010 ,"'Sixth form college' ","'19' ","'Men' ","'Northern Ireland' ",25
2010 ,"'Sixth form college' ","'19' ","'Men' ","'Scotland' ",5
2010 ,"'Sixth form college' ","'19' ","'Men' ","'Wales' ",125
2010 ,"'Sixth form college' ","'19' ","'Women' ","'England' ",8150
2010 ,"'Sixth form college' ","'19' ","'Women' ","'Northern Ireland' ",30
2010 ,"'Sixth form college' ","'19' ","'Women' ","'Scotland' ",5
2010 ,"'Sixth form college' ","'19' ","'Women' ","'Wales' ",165
2010 ,"'State' ","'18' ","'Men' ","'England' ",16015
2010 ,"'State' ","'18' ","'Men' ","'Northern Ireland' ",745
2010 ,"'State' ","'18' ","'Men' ","'Scotland' ",5445
2010 ,"'State' ","'18' ","'Men' ","'Wales' ",2970
2010 ,"'State' ","'18' ","'Women' ","'England' ",19545
2010 ,"'State' ","'18' ","'Women' ","'Northern Ireland' ",1180
2010 ,"'State' ","'18' ","'Women' ","'Scotland' ",7150
2010 ,"'State' ","'18' ","'Women' ","'Wales' ",3985
2010 ,"'State' ","'19' ","'Men' ","'England' ",4705
2010 ,"'State' ","'19' ","'Men' ","'Northern Ireland' ",105
2010 ,"'State' ","'19' ","'Men' ","'Scotland' ",610
2010 ,"'State' ","'19' ","'Men' ","'Wales' ",470
2010 ,"'State' ","'19' ","'Women' ","'England' ",4875
2010 ,"'State' ","'19' ","'Women' ","'Northern Ireland' ",135
2010 ,"'State' ","'19' ","'Women' ","'Scotland' ",635
2010 ,"'State' ","'19' ","'Women' ","'Wales' ",505
2010 ,"'Other' ","'18' ","'Men' ","'England' ",2390
2010 ,"'Other' ","'18' ","'Men' ","'Northern Ireland' ",20
2010 ,"'Other' ","'18' ","'Men' ","'Scotland' ",65
2010 ,"'Other' ","'18' ","'Men' ","'Wales' ",95
2010 ,"'Other' ","'18' ","'Women' ","'England' ",3350
2010 ,"'Other' ","'18' ","'Women' ","'Northern Ireland' ",60
2010 ,"'Other' ","'18' ","'Women' ","'Scotland' ",125
2010 ,"'Other' ","'18' ","'Women' ","'Wales' ",95
2010 ,"'Other' ","'19' ","'Men' ","'England' ",5600
2010 ,"'Other' ","'19' ","'Men' ","'Northern Ireland' ",135
2010 ,"'Other' ","'19' ","'Men' ","'Scotland' ",310
2010 ,"'Other' ","'19' ","'Men' ","'Wales' ",260
2010 ,"'Other' ","'19' ","'Women' ","'England' ",8335
2010 ,"'Other' ","'19' ","'Women' ","'Northern Ireland' ",180
2010 ,"'Other' ","'19' ","'Women' ","'Scotland' ",450
2010 ,"'Other' ","'19' ","'Women' ","'Wales' ",405
2011 ,"'Academy' ","'18' ","'Men' ","'England' ",26530
2011 ,"'Academy' ","'18' ","'Men' ","'Scotland' ",5
2011 ,"'Academy' ","'18' ","'Men' ","'Wales' ",10
2011 ,"'Academy' ","'18' ","'Women' ","'England' ",32005
