"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Accepted through the main scheme and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_004_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (High Level),Number of Acceptances,
2006 ,"'D65 University of Dundee' ","'Scotland' ",1420
2006 ,"'D65 University of Dundee' ","'Wales' ",5
2006 ,"'D86 Durham University' ","'England' ",2905
2006 ,"'D86 Durham University' ","'Northern Ireland' ",30
2006 ,"'D86 Durham University' ","'Scotland' ",65
2006 ,"'D86 Durham University' ","'Wales' ",60
2006 ,"'E10 Ealing, Hammersmith and West London College' ","'England' ",5
2006 ,"'E14 University of East Anglia (UEA)' ","'England' ",1990
2006 ,"'E14 University of East Anglia (UEA)' ","'Northern Ireland' ",10
2006 ,"'E14 University of East Anglia (UEA)' ","'Scotland' ",15
2006 ,"'E14 University of East Anglia (UEA)' ","'Wales' ",15
2006 ,"'E28 University of East London (UEL)' ","'England' ",1550
2006 ,"'E28 University of East London (UEL)' ","'Northern Ireland' ",5
2006 ,"'E28 University of East London (UEL)' ","'Scotland' ",10
2006 ,"'E28 University of East London (UEL)' ","'Wales' ",5
2006 ,"'E32 East Surrey College (incorporating Reigate School of Art, Design and Media)' ","'England' ",20
2006 ,"'E42 Edge Hill University' ","'England' ",1340
2006 ,"'E42 Edge Hill University' ","'Northern Ireland' ",5
2006 ,"'E42 Edge Hill University' ","'Wales' ",20
2006 ,"'E56 The University of Edinburgh' ","'England' ",1165
2006 ,"'E56 The University of Edinburgh' ","'Northern Ireland' ",120
2006 ,"'E56 The University of Edinburgh' ","'Scotland' ",2085
2006 ,"'E56 The University of Edinburgh' ","'Wales' ",25
2006 ,"'E58 Edinburgh College of Art' ","'England' ",100
2006 ,"'E58 Edinburgh College of Art' ","'Northern Ireland' ",15
2006 ,"'E58 Edinburgh College of Art' ","'Scotland' ",155
2006 ,"'E70 The University of Essex' ","'England' ",1195
2006 ,"'E70 The University of Essex' ","'Northern Ireland' ",10
2006 ,"'E70 The University of Essex' ","'Wales' ",15
2006 ,"'E77 European Business School, London' ","'England' ",5
2006 ,"'E80 European School of Osteopathy' ","'England' ",30
2006 ,"'E81 Exeter College' ","'England' ",45
2006 ,"'E84 University of Exeter' ","'England' ",2690
2006 ,"'E84 University of Exeter' ","'Northern Ireland' ",5
2006 ,"'E84 University of Exeter' ","'Scotland' ",10
2006 ,"'E84 University of Exeter' ","'Wales' ",140
2006 ,"'F33 Falmouth University' ","'England' ",625
2006 ,"'F33 Falmouth University' ","'Northern Ireland' ",5
2006 ,"'F33 Falmouth University' ","'Scotland' ",5
2006 ,"'F33 Falmouth University' ","'Wales' ",25
2006 ,"'F66 University Centre Farnborough' ","'England' ",110
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'England' ",515
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Northern Ireland' ",10
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Scotland' ",10
2006 ,"'G14 University of South Wales (formerly University of Glamorgan)' ","'Wales' ",1710
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'England' ",10
2006 ,"'G20 Glamorgan Centre for Art and Design Technology' ","'Wales' ",50
2006 ,"'G28 University of Glasgow' ","'England' ",395
2006 ,"'G28 University of Glasgow' ","'Northern Ireland' ",180
2006 ,"'G28 University of Glasgow' ","'Scotland' ",2895
2006 ,"'G28 University of Glasgow' ","'Wales' ",15
2006 ,"'G42 Glasgow Caledonian University' ","'England' ",35
2006 ,"'G42 Glasgow Caledonian University' ","'Northern Ireland' ",95
2006 ,"'G42 Glasgow Caledonian University' ","'Scotland' ",2465
2006 ,"'G43 The Glasgow School of Art' ","'England' ",115
2006 ,"'G43 The Glasgow School of Art' ","'Northern Ireland' ",10
2006 ,"'G43 The Glasgow School of Art' ","'Scotland' ",140
2006 ,"'G45 Gloucestershire College' ","'England' ",10
2006 ,"'G50 The University of Gloucestershire' ","'England' ",1520
2006 ,"'G50 The University of Gloucestershire' ","'Northern Ireland' ",5
2006 ,"'G50 The University of Gloucestershire' ","'Wales' ",65
2006 ,"'G56 Goldsmiths, University of London' ","'England' ",910
2006 ,"'G56 Goldsmiths, University of London' ","'Northern Ireland' ",5
2006 ,"'G56 Goldsmiths, University of London' ","'Scotland' ",5
2006 ,"'G56 Goldsmiths, University of London' ","'Wales' ",15
2006 ,"'G64 Great Yarmouth College' ","'England' ",30
2006 ,"'G70 University of Greenwich' ","'England' ",1895
2006 ,"'G70 University of Greenwich' ","'Scotland' ",5
2006 ,"'G70 University of Greenwich' ","'Wales' ",10
2006 ,"'G80 University Centre Grimsby' ","'England' ",90
2006 ,"'G90 Guildford College' ","'England' ",115
2006 ,"'H06 Halton College' ","'England' ",15
2006 ,"'H12 Harper Adams University' ","'England' ",310
2006 ,"'H12 Harper Adams University' ","'Northern Ireland' ",15
2006 ,"'H12 Harper Adams University' ","'Scotland' ",10
2006 ,"'H12 Harper Adams University' ","'Wales' ",45
2006 ,"'H14 Havering College of Further and Higher Education' ","'England' ",15
2006 ,"'H18 Hereford College of Arts' ","'England' ",100
2006 ,"'H18 Hereford College of Arts' ","'Wales' ",15
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'England' ",120
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Northern Ireland' ",85
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Scotland' ",860
2006 ,"'H24 Heriot-Watt University, Edinburgh' ","'Wales' ",5
2006 ,"'H36 University of Hertfordshire' ","'England' ",3530
2006 ,"'H36 University of Hertfordshire' ","'Northern Ireland' ",5
2006 ,"'H36 University of Hertfordshire' ","'Scotland' ",5
2006 ,"'H36 University of Hertfordshire' ","'Wales' ",15
2006 ,"'H37 Hertford Regional College' ","'England' ",30
2006 ,"'H39 Highbury College' ","'England' ",15
2006 ,"'H48 Heythrop College (University of London)' ","'England' ",105
2006 ,"'H49 University of the Highlands and Islands' ","'England' ",5
2006 ,"'H49 University of the Highlands and Islands' ","'Scotland' ",175
2006 ,"'H54 Hopwood Hall College' ","'England' ",25
2006 ,"'H60 The University of Huddersfield' ","'England' ",2760
2006 ,"'H60 The University of Huddersfield' ","'Northern Ireland' ",15
2006 ,"'H60 The University of Huddersfield' ","'Scotland' ",10
2006 ,"'H60 The University of Huddersfield' ","'Wales' ",25
2006 ,"'H72 The University of Hull' ","'England' ",2370
