"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (Region) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_005_01.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (Region),Number of Acceptances,
2006 ,"'C10 Canterbury Christ Church University' ","'London' ",290
2006 ,"'C10 Canterbury Christ Church University' ","'South East' ",1300
2006 ,"'C10 Canterbury Christ Church University' ","'South West' ",45
2006 ,"'C10 Canterbury Christ Church University' ","'Wales' ",5
2006 ,"'C10 Canterbury Christ Church University' ","'Unknown' ",5
2006 ,"'C13 Capel Manor College' ","'East of England' ",5
2006 ,"'C13 Capel Manor College' ","'London' ",5
2006 ,"'C15 Cardiff University' ","'North East' ",10
2006 ,"'C15 Cardiff University' ","'Yorkshire and The Humber' ",45
2006 ,"'C15 Cardiff University' ","'North West' ",115
2006 ,"'C15 Cardiff University' ","'East Midlands' ",75
2006 ,"'C15 Cardiff University' ","'West Midlands' ",405
2006 ,"'C15 Cardiff University' ","'East of England' ",125
2006 ,"'C15 Cardiff University' ","'London' ",150
2006 ,"'C15 Cardiff University' ","'South East' ",630
2006 ,"'C15 Cardiff University' ","'South West' ",950
2006 ,"'C15 Cardiff University' ","'Wales' ",1880
2006 ,"'C15 Cardiff University' ","'Scotland' ",10
2006 ,"'C15 Cardiff University' ","'Northern Ireland' ",30
2006 ,"'C15 Cardiff University' ","'Unknown' ",5
2006 ,"'C20 Cardiff Metropolitan University' ","'North East' ",5
2006 ,"'C20 Cardiff Metropolitan University' ","'Yorkshire and The Humber' ",10
2006 ,"'C20 Cardiff Metropolitan University' ","'North West' ",30
2006 ,"'C20 Cardiff Metropolitan University' ","'East Midlands' ",15
2006 ,"'C20 Cardiff Metropolitan University' ","'West Midlands' ",130
2006 ,"'C20 Cardiff Metropolitan University' ","'East of England' ",40
2006 ,"'C20 Cardiff Metropolitan University' ","'London' ",40
2006 ,"'C20 Cardiff Metropolitan University' ","'South East' ",150
2006 ,"'C20 Cardiff Metropolitan University' ","'South West' ",425
2006 ,"'C20 Cardiff Metropolitan University' ","'Wales' ",1550
2006 ,"'C20 Cardiff Metropolitan University' ","'Northern Ireland' ",15
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'South West' ",5
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'Wales' ",85
2006 ,"'C22 Coleg Sir Gar / Carmarthenshire College' ","'Northern Ireland' ",5
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'North East' ",15
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Yorkshire and The Humber' ",65
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'North West' ",100
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'East Midlands' ",230
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'West Midlands' ",2015
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'East of England' ",80
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'London' ",115
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'South East' ",115
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'South West' ",95
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Wales' ",45
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Scotland' ",10
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Northern Ireland' ",10
2006 ,"'C25 Birmingham City University (formerly University of Central England in Birmingham)' ","'Unknown' ",10
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'North East' ",95
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Yorkshire and The Humber' ",265
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'North West' ",3370
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'East Midlands' ",110
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'West Midlands' ",155
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'East of England' ",100
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'London' ",75
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'South East' ",145
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'South West' ",90
2006 ,"'C30 University of Central Lancashire (UCLan)' ","'Wales' ",75
