"Statistic:   Number of Acceptances"
"Variables:   Achieved A-Level point score , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   Applied before June deadline, UK domiciled (excluding Scotland) 18 year olds and hold at least 3 A levels"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_045_05.pdf"
 
Cycle Year,Achieved A-Level point score , Applicant Domicile (High Level),Number of Acceptances,
2015 ,"'17 points' ","'Northern Ireland' ",260
2015 ,"'17 points' ","'Wales' ",240
2015 ,"'18 points' ","'England' ",4925
2015 ,"'18 points' ","'Northern Ireland' ",195
2015 ,"'18 points' ","'Wales' ",160
2016 ,"'3 points' ","'England' ",150
2016 ,"'3 points' ","'Wales' ",5
2016 ,"'4 points' ","'England' ",680
2016 ,"'4 points' ","'Northern Ireland' ",5
2016 ,"'4 points' ","'Wales' ",35
2016 ,"'5 points' ","'England' ",1885
2016 ,"'5 points' ","'Northern Ireland' ",15
2016 ,"'5 points' ","'Wales' ",90
2016 ,"'6 points' ","'England' ",3890
2016 ,"'6 points' ","'Northern Ireland' ",30
2016 ,"'6 points' ","'Wales' ",205
2016 ,"'7 points' ","'England' ",6605
2016 ,"'7 points' ","'Northern Ireland' ",115
2016 ,"'7 points' ","'Wales' ",335
2016 ,"'8 points' ","'England' ",9565
2016 ,"'8 points' ","'Northern Ireland' ",240
2016 ,"'8 points' ","'Wales' ",495
2016 ,"'9 points' ","'England' ",12540
2016 ,"'9 points' ","'Northern Ireland' ",475
2016 ,"'9 points' ","'Wales' ",620
2016 ,"'10 points' ","'England' ",14115
2016 ,"'10 points' ","'Northern Ireland' ",680
2016 ,"'10 points' ","'Wales' ",745
2016 ,"'11 points' ","'England' ",15130
2016 ,"'11 points' ","'Northern Ireland' ",835
2016 ,"'11 points' ","'Wales' ",710
2016 ,"'12 points' ","'England' ",15915
2016 ,"'12 points' ","'Northern Ireland' ",970
2016 ,"'12 points' ","'Wales' ",775
2016 ,"'13 points' ","'England' ",14710
2016 ,"'13 points' ","'Northern Ireland' ",920
2016 ,"'13 points' ","'Wales' ",700
2016 ,"'14 points' ","'England' ",13020
2016 ,"'14 points' ","'Northern Ireland' ",835
2016 ,"'14 points' ","'Wales' ",565
2016 ,"'15 points' ","'England' ",11855
2016 ,"'15 points' ","'Northern Ireland' ",715
2016 ,"'15 points' ","'Wales' ",460
2016 ,"'16 points' ","'England' ",9410
2016 ,"'16 points' ","'Northern Ireland' ",460
2016 ,"'16 points' ","'Wales' ",365
2016 ,"'17 points' ","'England' ",5850
2016 ,"'17 points' ","'Northern Ireland' ",240
2016 ,"'17 points' ","'Wales' ",190
2016 ,"'18 points' ","'England' ",4420
2016 ,"'18 points' ","'Northern Ireland' ",195
2016 ,"'18 points' ","'Wales' ",165
