"Statistic:   Number of Applicants"
"Variables:   Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_013_04.pdf"
 
Cycle Year,Age Band , Applicant Domicile (High Level),Number of Applicants,
2006 ,"'17 and under' ","'England' ",1410
2015 ,"'20' ","'Scotland' ",4150
2015 ,"'20' ","'Wales' ",1800
2015 ,"'21 and over' ","'England' ",128615
2015 ,"'21 and over' ","'Northern Ireland' ",4260
2015 ,"'21 and over' ","'Scotland' ",20170
2015 ,"'21 and over' ","'Wales' ",6780
2016 ,"'17 and under' ","'England' ",1105
2016 ,"'17 and under' ","'Northern Ireland' ",40
2016 ,"'17 and under' ","'Scotland' ",930
2016 ,"'17 and under' ","'Wales' ",35
2016 ,"'18' ","'England' ",237350
2016 ,"'18' ","'Northern Ireland' ",11805
2016 ,"'18' ","'Scotland' ",19720
2016 ,"'18' ","'Wales' ",12165
2016 ,"'19' ","'England' ",93955
2016 ,"'19' ","'Northern Ireland' ",3665
2016 ,"'19' ","'Scotland' ",6340
2016 ,"'19' ","'Wales' ",4590
2016 ,"'20' ","'England' ",34095
2016 ,"'20' ","'Northern Ireland' ",1595
2016 ,"'20' ","'Scotland' ",4240
2016 ,"'20' ","'Wales' ",1730
2016 ,"'21 and over' ","'England' ",124980
2016 ,"'21 and over' ","'Northern Ireland' ",4200
2016 ,"'21 and over' ","'Scotland' ",21085
2016 ,"'21 and over' ","'Wales' ",6880
