"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Accepted through the main scheme"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_003_02.pdf"
 
Cycle Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'L51 Liverpool John Moores University (LJMU)' ","'EU (excluding UK)' ",155
2006 ,"'L51 Liverpool John Moores University (LJMU)' ","'Not EU' ",145
2006 ,"'L53 Coleg Llandrillo' ","'UK' ",25
2006 ,"'L68 London Metropolitan University' ","'UK' ",1860
2006 ,"'L68 London Metropolitan University' ","'EU (excluding UK)' ",280
2006 ,"'L68 London Metropolitan University' ","'Not EU' ",240
2006 ,"'L70 London School of Commerce' ","'Not EU' ",5
2006 ,"'L72 London School of Economics and Political Science (University of London)' ","'UK' ",600
2006 ,"'L72 London School of Economics and Political Science (University of London)' ","'EU (excluding UK)' ",165
2006 ,"'L72 London School of Economics and Political Science (University of London)' ","'Not EU' ",530
2006 ,"'L75 London South Bank University' ","'UK' ",1370
2006 ,"'L75 London South Bank University' ","'EU (excluding UK)' ",150
2006 ,"'L75 London South Bank University' ","'Not EU' ",300
2006 ,"'L77 Loughborough College' ","'UK' ",155
2006 ,"'L77 Loughborough College' ","'Not EU' ",5
2006 ,"'L79 Loughborough University' ","'UK' ",2815
2006 ,"'L79 Loughborough University' ","'EU (excluding UK)' ",65
2006 ,"'L79 Loughborough University' ","'Not EU' ",255
2006 ,"'L82 Lowestoft College' ","'UK' ",5
2006 ,"'L93 University of Luton' ","'UK' ",1410
2006 ,"'L93 University of Luton' ","'EU (excluding UK)' ",50
2006 ,"'L93 University of Luton' ","'Not EU' ",35
2006 ,"'M10 The Manchester College' ","'UK' ",30
2006 ,"'M20 The University of Manchester' ","'UK' ",5390
2006 ,"'M20 The University of Manchester' ","'EU (excluding UK)' ",295
2006 ,"'M20 The University of Manchester' ","'Not EU' ",950
2006 ,"'M40 The Manchester Metropolitan University' ","'UK' ",6240
2006 ,"'M40 The Manchester Metropolitan University' ","'EU (excluding UK)' ",170
2006 ,"'M40 The Manchester Metropolitan University' ","'Not EU' ",305
2006 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'UK' ",650
2006 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'EU (excluding UK)' ",10
2006 ,"'M50 UCP Marjon - University College Plymouth St Mark & St John (formerly Marjon)' ","'Not EU' ",10
2006 ,"'M60 Matthew Boulton College of Further and Higher Education' ","'UK' ",5
2006 ,"'M62 Medway School of Pharmacy' ","'UK' ",50
2006 ,"'M62 Medway School of Pharmacy' ","'EU (excluding UK)' ",10
2006 ,"'M62 Medway School of Pharmacy' ","'Not EU' ",5
2006 ,"'M65 Coleg Menai' ","'UK' ",5
2006 ,"'M80 Middlesex University' ","'UK' ",2095
2006 ,"'M80 Middlesex University' ","'EU (excluding UK)' ",140
2006 ,"'M80 Middlesex University' ","'Not EU' ",100
2006 ,"'M95 Mountview Academy of Theatre Arts' ","'UK' ",95
2006 ,"'M99 Myerscough College' ","'UK' ",200
2006 ,"'M99 Myerscough College' ","'EU (excluding UK)' ",10
2006 ,"'M99 Myerscough College' ","'Not EU' ",5
2006 ,"'N07 Napier University, Edinburgh' ","'UK' ",1365
2006 ,"'N07 Napier University, Edinburgh' ","'EU (excluding UK)' ",580
2006 ,"'N07 Napier University, Edinburgh' ","'Not EU' ",120
2006 ,"'N13 NPTC Group' ","'UK' ",15
2006 ,"'N21 Newcastle University' ","'UK' ",3660
2006 ,"'N21 Newcastle University' ","'EU (excluding UK)' ",150
2006 ,"'N21 Newcastle University' ","'Not EU' ",255
2006 ,"'N23 Newcastle College' ","'UK' ",670
2006 ,"'N23 Newcastle College' ","'EU (excluding UK)' ",10
2006 ,"'N23 Newcastle College' ","'Not EU' ",5
2006 ,"'N28 New College Durham' ","'UK' ",160
2006 ,"'N28 New College Durham' ","'Not EU' ",5
2006 ,"'N30 New College Nottingham' ","'UK' ",145
2006 ,"'N30 New College Nottingham' ","'Not EU' ",5
2006 ,"'N36 Newman University, Birmingham' ","'UK' ",510
2006 ,"'N36 Newman University, Birmingham' ","'EU (excluding UK)' ",15
2006 ,"'N36 Newman University, Birmingham' ","'Not EU' ",5
2006 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'UK' ",885
2006 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'EU (excluding UK)' ",25
2006 ,"'N37 University of South Wales (formerly University of Wales, Newport)' ","'Not EU' ",10
2006 ,"'N38 University of Northampton' ","'UK' ",1555
2006 ,"'N38 University of Northampton' ","'EU (excluding UK)' ",25
2006 ,"'N38 University of Northampton' ","'Not EU' ",40
2006 ,"'N39 Norwich University Of The Arts' ","'UK' ",360
2006 ,"'N39 Norwich University Of The Arts' ","'EU (excluding UK)' ",5
2006 ,"'N41 Northbrook College Sussex' ","'UK' ",90
2006 ,"'N49 NESCOT, Surrey' ","'UK' ",15
2006 ,"'N56 Glyndwr University (Formerly The North East Wales Institute of Higher Education)' ","'UK' ",330
2006 ,"'N56 Glyndwr University (Formerly The North East Wales Institute of Higher Education)' ","'EU (excluding UK)' ",5
2006 ,"'N58 North East Worcestershire College' ","'UK' ",85
2006 ,"'N64 North Lindsey College' ","'UK' ",30
