"Statistic:   Number of Acceptances"
"Variables:   Sex , Age Band , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_018_01.pdf"
 
Cycle Year,Sex , Age Band , Applicant Domicile (High Level),Number of Acceptances,
2012 ,"'Men' ","'18' ","'Northern Ireland' ",3670
2012 ,"'Men' ","'18' ","'Scotland' ",6195
2012 ,"'Men' ","'18' ","'Wales' ",4195
2012 ,"'Men' ","'19' ","'England' ",31520
2012 ,"'Men' ","'19' ","'Northern Ireland' ",915
2012 ,"'Men' ","'19' ","'Scotland' ",1930
2012 ,"'Men' ","'19' ","'Wales' ",1710
2012 ,"'Men' ","'20' ","'England' ",12310
2012 ,"'Men' ","'20' ","'Northern Ireland' ",495
2012 ,"'Men' ","'20' ","'Scotland' ",1155
2012 ,"'Men' ","'20' ","'Wales' ",720
2012 ,"'Men' ","'21 and over' ","'England' ",28605
2012 ,"'Men' ","'21 and over' ","'Northern Ireland' ",935
2012 ,"'Men' ","'21 and over' ","'Scotland' ",3775
2012 ,"'Men' ","'21 and over' ","'Wales' ",1740
2012 ,"'Women' ","'17 and under' ","'England' ",380
2012 ,"'Women' ","'17 and under' ","'Northern Ireland' ",30
2012 ,"'Women' ","'17 and under' ","'Scotland' ",345
2012 ,"'Women' ","'17 and under' ","'Wales' ",10
2012 ,"'Women' ","'18' ","'England' ",99415
2012 ,"'Women' ","'18' ","'Northern Ireland' ",4745
2012 ,"'Women' ","'18' ","'Scotland' ",8260
2012 ,"'Women' ","'18' ","'Wales' ",5670
2012 ,"'Women' ","'19' ","'England' ",34805
2012 ,"'Women' ","'19' ","'Northern Ireland' ",1025
2012 ,"'Women' ","'19' ","'Scotland' ",2405
2012 ,"'Women' ","'19' ","'Wales' ",1970
2012 ,"'Women' ","'20' ","'England' ",12255
2012 ,"'Women' ","'20' ","'Northern Ireland' ",445
2012 ,"'Women' ","'20' ","'Scotland' ",1430
2012 ,"'Women' ","'20' ","'Wales' ",745
2012 ,"'Women' ","'21 and over' ","'England' ",43160
2012 ,"'Women' ","'21 and over' ","'Northern Ireland' ",1005
