"Statistic:   Number of Acceptances"
"Variables:   Provider Name , Applicant Domicile (UK / EU / Not EU) , Entry Year"
"Coverage:   Direct entry or deferred by one year"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR4_019_01.pdf"
 
Entry Year,Provider Name , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2007 ,"'C55 University of Chester' ","'Not EU' ",55
2007 ,"'C56 Chesterfield College' ","'UK' ",60
2007 ,"'C57 Chichester College' ","'UK' ",65
2007 ,"'C57 Chichester College' ","'Not EU' ",5
2007 ,"'C58 University of Chichester' ","'UK' ",1085
2007 ,"'C58 University of Chichester' ","'EU (excluding UK)' ",10
2007 ,"'C58 University of Chichester' ","'Not EU' ",20
2007 ,"'C60 City, University of London' ","'UK' ",1660
2007 ,"'C60 City, University of London' ","'EU (excluding UK)' ",225
2007 ,"'C60 City, University of London' ","'Not EU' ",485
2007 ,"'C62 City College, Birmingham' ","'UK' ",45
2007 ,"'C62 City College, Birmingham' ","'Not EU' ",10
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'UK' ",285
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'EU (excluding UK)' ",5
2007 ,"'C66 The Manchester College (Formerly City College Manchester)' ","'Not EU' ",5
2007 ,"'C69 City of Sunderland College' ","'UK' ",105
2007 ,"'C71 Cleveland College of Art and Design' ","'UK' ",235
2007 ,"'C72 Cliff College' ","'UK' ",20
2007 ,"'C75 University Centre Colchester at Colchester Institute' ","'UK' ",355
2007 ,"'C75 University Centre Colchester at Colchester Institute' ","'Not EU' ",5
2007 ,"'C78 Cornwall College' ","'UK' ",345
2007 ,"'C78 Cornwall College' ","'EU (excluding UK)' ",5
2007 ,"'C78 Cornwall College' ","'Not EU' ",5
2007 ,"'C80 Courtauld Institute of Art (University of London)' ","'UK' ",45
2007 ,"'C80 Courtauld Institute of Art (University of London)' ","'EU (excluding UK)' ",10
2007 ,"'C80 Courtauld Institute of Art (University of London)' ","'Not EU' ",5
2007 ,"'C85 Coventry University' ","'UK' ",3505
2007 ,"'C85 Coventry University' ","'EU (excluding UK)' ",450
2007 ,"'C85 Coventry University' ","'Not EU' ",545
2007 ,"'C88 Craven College' ","'UK' ",35
2007 ,"'C92 University Centre, Croydon (Croydon College)' ","'UK' ",120
2007 ,"'C92 University Centre, Croydon (Croydon College)' ","'Not EU' ",10
2007 ,"'C95 Cumbria Institute of the Arts' ","'UK' ",350
