"Statistic:   Number of Acceptances"
"Variables:   Age Band , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applied before June deadline"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_012_05.pdf"
 
Cycle Year,Age Band , Applicant Domicile (UK / EU / Not EU),Number of Acceptances,
2006 ,"'17 and under' ","'UK' ",1800
2012 ,"'20' ","'UK' ",26325
2012 ,"'20' ","'EU (excluding UK)' ",2605
2012 ,"'20' ","'Not EU' ",4725
2012 ,"'21 and over' ","'UK' ",73065
2012 ,"'21 and over' ","'EU (excluding UK)' ",3785
2012 ,"'21 and over' ","'Not EU' ",6040
2013 ,"'17 and under' ","'UK' ",1075
2013 ,"'17 and under' ","'EU (excluding UK)' ",1595
2013 ,"'17 and under' ","'Not EU' ",2205
2013 ,"'18' ","'UK' ",216310
2013 ,"'18' ","'EU (excluding UK)' ",7630
2013 ,"'18' ","'Not EU' ",10660
2013 ,"'19' ","'UK' ",83440
2013 ,"'19' ","'EU (excluding UK)' ",7300
2013 ,"'19' ","'Not EU' ",8880
2013 ,"'20' ","'UK' ",27940
2013 ,"'20' ","'EU (excluding UK)' ",2855
2013 ,"'20' ","'Not EU' ",5090
2013 ,"'21 and over' ","'UK' ",76745
2013 ,"'21 and over' ","'EU (excluding UK)' ",3920
2013 ,"'21 and over' ","'Not EU' ",6060
2014 ,"'17 and under' ","'UK' ",1080
2014 ,"'17 and under' ","'EU (excluding UK)' ",1855
2014 ,"'17 and under' ","'Not EU' ",2510
2014 ,"'18' ","'UK' ",222160
2014 ,"'18' ","'EU (excluding UK)' ",8525
2014 ,"'18' ","'Not EU' ",11210
2014 ,"'19' ","'UK' ",85205
2014 ,"'19' ","'EU (excluding UK)' ",7715
2014 ,"'19' ","'Not EU' ",9300
2014 ,"'20' ","'UK' ",29795
2014 ,"'20' ","'EU (excluding UK)' ",3210
2014 ,"'20' ","'Not EU' ",5260
2014 ,"'21 and over' ","'UK' ",81330
2014 ,"'21 and over' ","'EU (excluding UK)' ",3945
2014 ,"'21 and over' ","'Not EU' ",5685
2015 ,"'17 and under' ","'UK' ",1175
2015 ,"'17 and under' ","'EU (excluding UK)' ",2165
2015 ,"'17 and under' ","'Not EU' ",2500
2015 ,"'18' ","'UK' ",232285
2015 ,"'18' ","'EU (excluding UK)' ",9795
2015 ,"'18' ","'Not EU' ",12400
2015 ,"'19' ","'UK' ",86775
2015 ,"'19' ","'EU (excluding UK)' ",8490
2015 ,"'19' ","'Not EU' ",9405
2015 ,"'20' ","'UK' ",28690
2015 ,"'20' ","'EU (excluding UK)' ",3325
2015 ,"'20' ","'Not EU' ",5035
2015 ,"'21 and over' ","'UK' ",82845
2015 ,"'21 and over' ","'EU (excluding UK)' ",4145
2015 ,"'21 and over' ","'Not EU' ",5715
2016 ,"'17 and under' ","'UK' ",1220
2016 ,"'17 and under' ","'EU (excluding UK)' ",2260
2016 ,"'17 and under' ","'Not EU' ",2600
2016 ,"'18' ","'UK' ",235835
2016 ,"'18' ","'EU (excluding UK)' ",10695
2016 ,"'18' ","'Not EU' ",12600
2016 ,"'19' ","'UK' ",87095
2016 ,"'19' ","'EU (excluding UK)' ",9325
2016 ,"'19' ","'Not EU' ",9095
2016 ,"'20' ","'UK' ",28165
2016 ,"'20' ","'EU (excluding UK)' ",3445
2016 ,"'20' ","'Not EU' ",4800
2016 ,"'21 and over' ","'UK' ",82315
2016 ,"'21 and over' ","'EU (excluding UK)' ",4225
2016 ,"'21 and over' ","'Not EU' ",5085
