"Statistic:   Number of Applicants"
"Variables:   POLAR3 Quintile , Applicant Domicile (High Level) , Cycle Year"
"Coverage:   UK domiciled 18 year olds"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_038_04.pdf"
 
Cycle Year,POLAR3 Quintile , Applicant Domicile (High Level),Number of Applicants,
2014 ,"'POLAR3 Quintile 2' ","'Wales' ",2335
2014 ,"'POLAR3 Quintile 3' ","'England' ",44940
2014 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1795
2014 ,"'POLAR3 Quintile 3' ","'Scotland' ",3065
2014 ,"'POLAR3 Quintile 3' ","'Wales' ",2040
2014 ,"'POLAR3 Quintile 4' ","'England' ",51645
2014 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3450
2014 ,"'POLAR3 Quintile 4' ","'Scotland' ",4665
2014 ,"'POLAR3 Quintile 4' ","'Wales' ",2525
2014 ,"'POLAR3 Quintile 5' ","'England' ",67635
2014 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4290
2014 ,"'POLAR3 Quintile 5' ","'Scotland' ",8645
2014 ,"'POLAR3 Quintile 5' ","'Wales' ",3020
2014 ,"'Not assigned' ","'England' ",430
2014 ,"'Not assigned' ","'Northern Ireland' ",20
2014 ,"'Not assigned' ","'Scotland' ",45
2014 ,"'Not assigned' ","'Wales' ",20
2015 ,"'POLAR3 Quintile 1' ","'England' ",26910
2015 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",855
2015 ,"'POLAR3 Quintile 1' ","'Scotland' ",930
2015 ,"'POLAR3 Quintile 1' ","'Wales' ",1790
2015 ,"'POLAR3 Quintile 2' ","'England' ",37240
2015 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1200
2015 ,"'POLAR3 Quintile 2' ","'Scotland' ",2240
2015 ,"'POLAR3 Quintile 2' ","'Wales' ",2525
2015 ,"'POLAR3 Quintile 3' ","'England' ",46835
2015 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1900
2015 ,"'POLAR3 Quintile 3' ","'Scotland' ",3185
2015 ,"'POLAR3 Quintile 3' ","'Wales' ",2050
2015 ,"'POLAR3 Quintile 4' ","'England' ",53925
2015 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3580
2015 ,"'POLAR3 Quintile 4' ","'Scotland' ",4845
2015 ,"'POLAR3 Quintile 4' ","'Wales' ",2715
2015 ,"'POLAR3 Quintile 5' ","'England' ",69710
2015 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4440
2015 ,"'POLAR3 Quintile 5' ","'Scotland' ",8755
2015 ,"'POLAR3 Quintile 5' ","'Wales' ",3040
2015 ,"'Not assigned' ","'England' ",605
2015 ,"'Not assigned' ","'Northern Ireland' ",20
2015 ,"'Not assigned' ","'Scotland' ",45
2015 ,"'Not assigned' ","'Wales' ",30
2016 ,"'POLAR3 Quintile 1' ","'England' ",26930
2016 ,"'POLAR3 Quintile 1' ","'Northern Ireland' ",805
2016 ,"'POLAR3 Quintile 1' ","'Scotland' ",925
2016 ,"'POLAR3 Quintile 1' ","'Wales' ",1870
2016 ,"'POLAR3 Quintile 2' ","'England' ",37360
2016 ,"'POLAR3 Quintile 2' ","'Northern Ireland' ",1250
2016 ,"'POLAR3 Quintile 2' ","'Scotland' ",2165
2016 ,"'POLAR3 Quintile 2' ","'Wales' ",2570
2016 ,"'POLAR3 Quintile 3' ","'England' ",46930
2016 ,"'POLAR3 Quintile 3' ","'Northern Ireland' ",1960
2016 ,"'POLAR3 Quintile 3' ","'Scotland' ",3225
2016 ,"'POLAR3 Quintile 3' ","'Wales' ",2045
2016 ,"'POLAR3 Quintile 4' ","'England' ",54300
2016 ,"'POLAR3 Quintile 4' ","'Northern Ireland' ",3480
2016 ,"'POLAR3 Quintile 4' ","'Scotland' ",4705
2016 ,"'POLAR3 Quintile 4' ","'Wales' ",2520
2016 ,"'POLAR3 Quintile 5' ","'England' ",70795
2016 ,"'POLAR3 Quintile 5' ","'Northern Ireland' ",4275
2016 ,"'POLAR3 Quintile 5' ","'Scotland' ",8615
2016 ,"'POLAR3 Quintile 5' ","'Wales' ",3120
2016 ,"'Not assigned' ","'England' ",1035
2016 ,"'Not assigned' ","'Northern Ireland' ",35
2016 ,"'Not assigned' ","'Scotland' ",85
2016 ,"'Not assigned' ","'Wales' ",40
